reporterISO,partnerISO,primaryValue
ALB,SVN,9286092.377600892
ALB,SWE,5916174.942377826
ALB,SWZ,88307.63077518769
ALB,SYC,30865.87162273155
ALB,SYR,97354.96219345748
ALB,TGO,51138.000484193464
ALB,THA,114655.8947670486
ALB,TJK,88.192251438719
ALB,TTO,12142.017414243484
ALB,TUN,164000.45409646418
ALB,TUR,61440367.319403365
ALB,TZA,25752.137420105948
ALB,UGA,1767.8236265836454
ALB,UKR,462491.43923843536
ALB,URY,206497.18349649894
ALB,USA,21070344.993440334
ALB,VCT,21084.579090202616
ALB,VEN,1074796.315885129
ALB,YEM,5117.139882350334
ALB,ZAF,149520.83408477434
ALB,ZMB,43417.11169324485
ALB,ZWE,1670.3347182639427
AND,ABW,5316.349600859528
AND,AGO,9266.943386344898
AND,ALB,7345.154655539025
AND,AND,2100273.359745418
AND,ARE,8423.216737125926
AND,ARG,246916.04576296927
AND,ARM,24501.531508726817
AND,ATG,914.4143964961917
AND,AUS,1606.0869946406533
AND,AUT,475029.3271347007
AND,AZE,152358.95423312084
AND,BDI,5831.89696808379
AND,BEL,456872.64525241073
AND,BEN,18773.01376301935
AND,BFA,3015.339493664244
AND,BGD,84847.57688039645
AND,BGR,688.631623218913
AND,BHR,18429.156816357226
AND,BIH,55680.47634067093
AND,BLR,24468.37652698294
AND,BMU,3187.826959987506
AND,BOL,2398.8690251112494
AND,BRA,2366566.7894978225
AND,BRB,28537.15588659181
AND,BRN,12218.612716167829
AND,BWA,100607.23779625764
AND,CAN,291015.1998583612
AND,CHE,2928100.116400844
AND,CHL,239472.44534633736
AND,CHN,22711.825594192214
AND,CIV,1756.3400671068352
AND,CMR,7783.0271946333605
AND,COG,99226.22936308203
AND,COK,541.0893020601105
AND,COL,9071.203005125382
AND,COM,82514.4044516107
AND,CPV,3415.5287436081207
AND,CRI,134023.04580291826
AND,CUB,244.97221361100114
AND,CYP,1029.1306333300142
AND,CZE,813444.8781930165
AND,DEU,397995.2329520679
AND,DJI,49.68274014320316
AND,DNK,75021.76649078037
AND,DOM,1139.2051727196936
AND,DZA,278612.58428761084
AND,ECU,27.692366951757766
AND,EGY,39431.97174298163
AND,ERI,1862.951900203184
AND,ESP,41270421.718458
AND,EST,163.34995335464927
AND,ETH,64997.58785609176
AND,FIN,1547811.8094287063
AND,FRA,10263509.407471757
AND,GAB,36565.68975314188
AND,GBR,412412.82861321024
AND,GEO,14261.283847312252
AND,GIB,5127.628792374829
AND,GMB,20828.499957707412
AND,GNQ,20218.180401367546
AND,GRC,30346.091690537865
AND,GTM,75501.18752679687
AND,GUY,40434.608893499746
AND,HKG,134746.4875045697
AND,HND,16209.4705745826
AND,HRV,5467.919589200577
AND,HUN,1532.608924099868
AND,IDN,115124.04310927217
AND,IND,4716.627702884272
AND,IRL,5844495.334645353
AND,IRN,1718058.6620857175
AND,ISL,58531.141671009675
AND,ISR,1821.1772863055307
AND,ITA,403354.41945244017
AND,JAM,935.6335848122744
AND,JOR,2381.1417194724318
AND,JPN,34591.08513641801
AND,KAZ,950.2217767795813
AND,KEN,49769.26735145871
AND,KHM,100.12804486651555
AND,KNA,1697.5350652866211
AND,KOR,300981.58737057133
AND,KWT,692.3138154913883
AND,LBN,63931.69696830304
AND,LCA,179.03690141694833
AND,LKA,95579.84447089018
AND,LUX,26659.640329107806
AND,LVA,73670.36943489985
AND,MAR,2812.206214615479
AND,MDA,187021.94722014424
AND,MEX,47881.09843524076
AND,MKD,71779.22253822167
AND,MLI,97162.00019970811
AND,MLT,6081.393510503561
AND,MOZ,48685.43829234727
AND,MRT,2747377.615712037
AND,MUS,5558.764239178807
AND,MWI,12668.590802196491
AND,MYS,604773.3909937539
AND,NAM,17023.0938265774
AND,NCL,770.5217757277554
